,OrderWeek,Segment,City,State,Region,SubCategory,Discount
146,43,Home Office,Newark,Ohio,East,Furnishings,YES
148,49,Corporate,Franklin,Wisconsin,Central,Phones,NO
149,49,Corporate,Franklin,Wisconsin,Central,Chairs,NO
150,49,Corporate,Franklin,Wisconsin,Central,Binders,NO
151,10,Home Office,Scottsdale,Arizona,West,Appliances,YES
152,10,Home Office,Scottsdale,Arizona,West,Phones,YES
153,22,Corporate,San Jose,California,West,Paper,NO
154,22,Corporate,San Jose,California,West,Paper,NO
155,22,Corporate,San Jose,California,West,Storage,NO
156,22,Home Office,Seattle,Washington,West,Art,NO
157,9,Consumer,Seattle,Washington,West,Chairs,YES
158,46,Consumer,Edmond,Oklahoma,Central,Labels,NO
159,46,Consumer,Edmond,Oklahoma,Central,Phones,NO
160,19,Consumer,Los Angeles,California,West,Paper,NO
161,53,Consumer,Philadelphia,Pennsylvania,East,Accessories,YES
162,46,Consumer,Carlsbad,New Mexico,West,Envelopes,NO
163,45,Consumer,Seattle,Washington,West,Binders,YES
164,37,Consumer,San Antonio,Texas,Central,Art,YES
165,37,Consumer,San Antonio,Texas,Central,Machines,YES
166,37,Consumer,San Antonio,Texas,Central,Storage,YES
167,37,Consumer,San Antonio,Texas,Central,Chairs,YES
168,37,Consumer,San Antonio,Texas,Central,Art,YES
170,37,Consumer,San Antonio,Texas,Central,Phones,YES
171,32,Consumer,Los Angeles,California,West,Paper,NO
172,32,Consumer,Los Angeles,California,West,Paper,NO
173,32,Consumer,Los Angeles,California,West,Chairs,YES
175,37,Corporate,Chicago,Illinois,Central,Labels,YES
177,47,Consumer,Newark,Ohio,East,Chairs,YES
178,47,Consumer,Newark,Ohio,East,Supplies,YES
179,51,Home Office,New York City,New York,East,Art,NO
180,49,Corporate,Decatur,Illinois,Central,Storage,YES
181,49,Corporate,Decatur,Illinois,Central,Accessories,YES
182,47,Home Office,Monroe,Louisiana,South,Phones,NO
183,47,Home Office,Monroe,Louisiana,South,Phones,NO
184,47,Home Office,Monroe,Louisiana,South,Accessories,NO
185,48,Consumer,Fairfield,Connecticut,East,Binders,NO
186,35,Home Office,Los Angeles,California,West,Accessories,NO
187,28,Corporate,Grand Prairie,Texas,Central,Storage,YES
188,28,Corporate,Grand Prairie,Texas,Central,Paper,YES
189,42,Home Office,New York City,New York,East,Bookcases,YES
190,42,Home Office,New York City,New York,East,Phones,NO
191,42,Home Office,New York City,New York,East,Paper,NO
192,42,Home Office,New York City,New York,East,Bookcases,YES
193,42,Home Office,New York City,New York,East,Art,NO
194,44,Corporate,Redlands,California,West,Envelopes,NO
195,12,Consumer,Hamilton,Ohio,East,Art,YES
196,12,Consumer,Hamilton,Ohio,East,Art,YES
197,45,Home Office,Westfield,New Jersey,East,Storage,NO
199,27,Corporate,Philadelphia,Pennsylvania,East,Paper,YES
200,25,Consumer,Akron,Ohio,East,Paper,YES
201,31,Consumer,Denver,Colorado,West,Tables,YES
202,31,Consumer,Denver,Colorado,West,Appliances,YES
204,22,Corporate,Franklin,Tennessee,South,Furnishings,YES
205,49,Consumer,Whittier,California,West,Phones,YES
206,48,Consumer,Saginaw,Michigan,Central,Storage,NO
207,48,Consumer,Saginaw,Michigan,Central,Phones,NO
208,48,Consumer,Saginaw,Michigan,Central,Binders,NO
209,48,Consumer,Saginaw,Michigan,Central,Fasteners,NO
210,48,Consumer,Saginaw,Michigan,Central,Storage,NO
211,7,Corporate,Dallas,Texas,Central,Accessories,YES
212,1,Corporate,Medina,Ohio,East,Labels,YES
213,1,Corporate,Medina,Ohio,East,Bookcases,YES
214,1,Corporate,Medina,Ohio,East,Phones,YES
216,1,Corporate,Medina,Ohio,East,Accessories,YES
217,43,Consumer,Los Angeles,California,West,Storage,NO
218,43,Consumer,Los Angeles,California,West,Phones,YES
219,52,Consumer,Dublin,Ohio,East,Fasteners,YES
220,52,Consumer,Dublin,Ohio,East,Paper,YES
222,52,Consumer,Dublin,Ohio,East,Furnishings,YES
224,52,Consumer,Dublin,Ohio,East,Art,YES
225,32,Corporate,Detroit,Michigan,Central,Art,NO
226,32,Corporate,Detroit,Michigan,Central,Tables,NO
227,32,Corporate,Detroit,Michigan,Central,Storage,NO
228,9,Consumer,Columbia,Tennessee,South,Chairs,YES
229,9,Consumer,Columbia,Tennessee,South,Chairs,YES
231,14,Home Office,Tampa,Florida,South,Tables,YES
232,14,Home Office,Tampa,Florida,South,Tables,YES
234,14,Home Office,Tampa,Florida,South,Furnishings,YES
235,14,Home Office,Tampa,Florida,South,Accessories,YES
236,45,Corporate,Santa Clara,California,West,Paper,NO
237,22,Consumer,Chicago,Illinois,Central,Paper,YES
240,22,Consumer,Chicago,Illinois,Central,Phones,YES
241,22,Consumer,Chicago,Illinois,Central,Tables,YES
243,22,Consumer,Chicago,Illinois,Central,Art,YES
244,22,Home Office,Lakeville,Minnesota,Central,Chairs,NO
245,22,Home Office,Lakeville,Minnesota,Central,Storage,NO
246,22,Home Office,Lakeville,Minnesota,Central,Paper,NO
247,22,Home Office,Lakeville,Minnesota,Central,Appliances,NO
248,22,Home Office,Lakeville,Minnesota,Central,Paper,NO
249,49,Consumer,San Francisco,California,West,Chairs,YES
250,36,Consumer,San Diego,California,West,Paper,NO
252,49,Consumer,New York City,New York,East,Storage,NO
253,49,Consumer,New York City,New York,East,Envelopes,NO
255,48,Corporate,Chicago,Illinois,Central,Storage,YES
256,48,Corporate,Chicago,Illinois,Central,Storage,YES
257,48,Corporate,Chicago,Illinois,Central,Phones,YES
258,48,Consumer,New York City,New York,East,Accessories,NO
259,48,Consumer,New York City,New York,East,Storage,NO
260,48,Consumer,New York City,New York,East,Binders,YES
262,38,Corporate,Houston,Texas,Central,Machines,YES
263,38,Corporate,Houston,Texas,Central,Machines,YES
264,23,Consumer,Chicago,Illinois,Central,Phones,YES
265,46,Consumer,Brentwood,California,West,Accessories,NO
266,24,Corporate,Chapel Hill,North Carolina,South,Art,YES
267,3,Consumer,Morristown,New Jersey,East,Fasteners,NO
268,49,Corporate,Cincinnati,Ohio,East,Storage,YES
269,49,Corporate,Cincinnati,Ohio,East,Envelopes,YES
270,52,Corporate,San Francisco,California,West,Storage,NO
271,31,Consumer,San Francisco,California,West,Accessories,NO
272,31,Consumer,San Francisco,California,West,Furnishings,NO
273,31,Consumer,San Francisco,California,West,Binders,YES
274,37,Corporate,Inglewood,California,West,Paper,NO
275,37,Corporate,Inglewood,California,West,Art,NO
276,41,Corporate,Philadelphia,Pennsylvania,East,Paper,YES
277,41,Corporate,Philadelphia,Pennsylvania,East,Paper,YES
278,41,Corporate,Philadelphia,Pennsylvania,East,Storage,YES
279,41,Corporate,Philadelphia,Pennsylvania,East,Labels,YES
281,39,Consumer,Houston,Texas,Central,Phones,YES
282,45,Consumer,Los Angeles,California,West,Tables,YES
283,39,Consumer,Portland,Oregon,West,Paper,YES
284,39,Consumer,Portland,Oregon,West,Accessories,YES
285,39,Consumer,Portland,Oregon,West,Paper,YES
287,50,Corporate,Tamarac,Florida,South,Appliances,YES
288,50,Corporate,Tamarac,Florida,South,Supplies,YES
289,46,Home Office,Columbus,Ohio,East,Fasteners,YES
290,46,Home Office,Columbus,Ohio,East,Labels,YES
291,46,Home Office,Columbus,Ohio,East,Accessories,YES
292,46,Home Office,Columbus,Ohio,East,Bookcases,YES
293,52,Corporate,Colorado Springs,Colorado,West,Furnishings,YES
294,52,Corporate,Colorado Springs,Colorado,West,Chairs,YES
295,52,Corporate,Colorado Springs,Colorado,West,Furnishings,YES
297,52,Corporate,Colorado Springs,Colorado,West,Fasteners,YES
298,43,Corporate,Belleville,New Jersey,East,Paper,NO
299,43,Corporate,Belleville,New Jersey,East,Storage,NO
300,43,Corporate,Belleville,New Jersey,East,Paper,NO
301,43,Corporate,Belleville,New Jersey,East,Furnishings,NO
302,43,Corporate,Belleville,New Jersey,East,Binders,NO
303,46,Consumer,Chicago,Illinois,Central,Tables,YES
304,19,Corporate,New York City,New York,East,Furnishings,NO
305,1,Corporate,Taylor,Michigan,Central,Art,NO
306,22,Home Office,Lakewood,New Jersey,East,Binders,NO
307,22,Home Office,Lakewood,New Jersey,East,Art,NO
308,15,Consumer,Arlington,Virginia,South,Art,NO
309,37,Corporate,Arvada,Colorado,West,Furnishings,YES
310,37,Corporate,Arvada,Colorado,West,Chairs,YES
311,37,Corporate,Arvada,Colorado,West,Furnishings,YES
312,37,Corporate,Arvada,Colorado,West,Labels,YES
313,39,Corporate,Hackensack,New Jersey,East,Furnishings,NO
314,32,Corporate,Saint Petersburg,Florida,South,Phones,YES
315,32,Corporate,Saint Petersburg,Florida,South,Paper,YES
316,52,Corporate,Philadelphia,Pennsylvania,East,Art,YES
317,45,Home Office,New York City,New York,East,Chairs,YES
318,45,Home Office,New York City,New York,East,Machines,NO
319,45,Home Office,New York City,New York,East,Phones,NO
320,45,Home Office,New York City,New York,East,Accessories,NO
321,45,Home Office,New York City,New York,East,Storage,NO
322,38,Corporate,Long Beach,California,West,Fasteners,NO
323,16,Corporate,Hesperia,California,West,Binders,YES
324,16,Corporate,Hesperia,California,West,Accessories,NO
325,44,Corporate,Murfreesboro,Tennessee,South,Furnishings,YES
326,35,Consumer,Philadelphia,Pennsylvania,East,Phones,YES
327,35,Consumer,Philadelphia,Pennsylvania,East,Storage,YES
328,35,Consumer,Philadelphia,Pennsylvania,East,Chairs,YES
331,17,Consumer,Philadelphia,Pennsylvania,East,Phones,YES
334,36,Consumer,Los Angeles,California,West,Binders,YES
335,36,Consumer,Los Angeles,California,West,Copiers,YES
336,36,Consumer,Los Angeles,California,West,Binders,YES
337,28,Corporate,San Francisco,California,West,Binders,YES
338,28,Corporate,San Francisco,California,West,Tables,YES
339,26,Consumer,Layton,Utah,West,Fasteners,NO
340,15,Corporate,Philadelphia,Pennsylvania,East,Art,YES
344,51,Consumer,Austin,Texas,Central,Storage,YES
345,24,Consumer,San Francisco,California,West,Phones,YES
346,27,Consumer,Lowell,Massachusetts,East,Art,NO
347,27,Consumer,Lowell,Massachusetts,East,Paper,NO
348,27,Consumer,Lowell,Massachusetts,East,Art,NO
349,35,Home Office,New York City,New York,East,Accessories,NO
351,35,Home Office,New York City,New York,East,Binders,YES
352,35,Home Office,New York City,New York,East,Paper,NO
353,35,Home Office,New York City,New York,East,Binders,YES
354,14,Consumer,New York City,New York,East,Bookcases,YES
355,14,Consumer,New York City,New York,East,Envelopes,NO
356,14,Consumer,New York City,New York,East,Art,NO
357,14,Consumer,New York City,New York,East,Paper,NO
358,16,Corporate,Charlotte,North Carolina,South,Paper,YES
359,10,Corporate,Columbus,Georgia,South,Appliances,NO
360,10,Corporate,Columbus,Georgia,South,Labels,NO
361,39,Consumer,New York City,New York,East,Labels,NO
362,39,Consumer,New York City,New York,East,Chairs,YES
363,39,Consumer,New York City,New York,East,Art,NO
364,39,Consumer,New York City,New York,East,Furnishings,NO
365,39,Consumer,San Francisco,California,West,Storage,NO
366,42,Corporate,Manchester,Connecticut,East,Binders,NO
367,42,Corporate,Manchester,Connecticut,East,Supplies,NO
368,42,Corporate,Manchester,Connecticut,East,Storage,NO
369,42,Corporate,Manchester,Connecticut,East,Bookcases,NO
370,22,Consumer,Harlingen,Texas,Central,Paper,YES
371,22,Consumer,Harlingen,Texas,Central,Storage,YES
373,30,Consumer,Tucson,Arizona,West,Accessories,YES
374,30,Consumer,Tucson,Arizona,West,Art,YES
376,39,Corporate,Quincy,Illinois,Central,Paper,YES
377,34,Corporate,Franklin,Massachusetts,East,Tables,YES
379,18,Consumer,Houston,Texas,Central,Storage,YES
381,43,Corporate,San Francisco,California,West,Paper,NO
382,43,Corporate,San Francisco,California,West,Binders,YES
383,26,Corporate,Taylor,Michigan,Central,Accessories,NO
384,48,Consumer,Pembroke Pines,Florida,South,Tables,YES
385,48,Consumer,Pembroke Pines,Florida,South,Accessories,YES
387,49,Corporate,Philadelphia,Pennsylvania,East,Furnishings,YES
388,48,Consumer,Cincinnati,Ohio,East,Art,YES
389,50,Consumer,New York City,New York,East,Binders,YES
390,50,Consumer,New York City,New York,East,Accessories,NO
391,38,Consumer,Des Moines,Washington,West,Phones,YES
392,38,Consumer,Des Moines,Washington,West,Copiers,NO
394,26,Home Office,Las Vegas,Nevada,West,Binders,YES
395,42,Corporate,Warwick,Rhode Island,East,Storage,NO
396,42,Corporate,Warwick,Rhode Island,East,Paper,NO
397,44,Home Office,Jackson,Michigan,Central,Supplies,NO
398,36,Consumer,Houston,Texas,Central,Storage,YES
399,36,Consumer,Houston,Texas,Central,Bookcases,YES
400,36,Consumer,Houston,Texas,Central,Storage,YES
401,36,Consumer,Houston,Texas,Central,Accessories,YES
402,52,Consumer,Miami,Florida,South,Paper,YES
403,16,Corporate,Wilmington,North Carolina,South,Art,YES
404,51,Consumer,New York City,New York,East,Appliances,NO
405,49,Consumer,San Francisco,California,West,Accessories,NO
406,49,Consumer,San Francisco,California,West,Copiers,YES
407,49,Consumer,San Francisco,California,West,Paper,NO
408,49,Consumer,San Francisco,California,West,Tables,YES
409,49,Consumer,San Francisco,California,West,Paper,NO
410,49,Consumer,San Francisco,California,West,Labels,NO
411,49,Consumer,San Francisco,California,West,Paper,NO
413,49,Consumer,San Francisco,California,West,Chairs,YES
414,44,Corporate,Seattle,Washington,West,Paper,NO
415,44,Corporate,Seattle,Washington,West,Chairs,YES
416,25,Consumer,Huntington Beach,California,West,Art,NO
417,15,Consumer,Los Angeles,California,West,Chairs,YES
418,45,Corporate,Richmond,Kentucky,South,Paper,NO
419,9,Corporate,Los Angeles,California,West,Art,NO
420,9,Corporate,Los Angeles,California,West,Envelopes,NO
421,25,Consumer,Louisville,Colorado,West,Accessories,YES
422,42,Corporate,Lawrence,Massachusetts,East,Furnishings,NO
423,42,Corporate,Lawrence,Massachusetts,East,Storage,NO
424,34,Consumer,Jackson,Mississippi,South,Chairs,NO
425,47,Corporate,Canton,Michigan,Central,Furnishings,NO
426,47,Corporate,Canton,Michigan,Central,Binders,NO
427,37,Home Office,New Rochelle,New York,East,Machines,NO
428,39,Corporate,San Antonio,Texas,Central,Art,YES
431,15,Home Office,Gastonia,North Carolina,South,Accessories,YES
432,15,Home Office,Gastonia,North Carolina,South,Storage,YES
433,23,Consumer,Lowell,Massachusetts,East,Storage,NO
435,51,Consumer,Jacksonville,Florida,South,Accessories,YES
436,23,Home Office,Chicago,Illinois,Central,Machines,YES
437,23,Home Office,Chicago,Illinois,Central,Paper,YES
438,37,Corporate,Houston,Texas,Central,Paper,YES
439,3,Corporate,New York City,New York,East,Chairs,YES
440,36,Consumer,Detroit,Michigan,Central,Furnishings,NO
441,36,Consumer,Detroit,Michigan,Central,Storage,NO
442,36,Consumer,Detroit,Michigan,Central,Storage,NO
443,36,Consumer,Detroit,Michigan,Central,Paper,NO
444,36,Consumer,Detroit,Michigan,Central,Chairs,NO
445,36,Consumer,Detroit,Michigan,Central,Labels,NO
446,12,Consumer,Columbus,Indiana,Central,Furnishings,NO
447,13,Consumer,Auburn,New York,East,Art,NO
448,13,Consumer,Auburn,New York,East,Storage,NO
449,13,Consumer,Auburn,New York,East,Art,NO
450,13,Consumer,Auburn,New York,East,Art,NO
451,13,Consumer,Auburn,New York,East,Art,NO
452,13,Consumer,Auburn,New York,East,Phones,NO
453,42,Corporate,Akron,Ohio,East,Tables,YES
454,42,Corporate,Akron,Ohio,East,Storage,YES
455,50,Corporate,Norman,Oklahoma,Central,Accessories,NO
456,7,Consumer,Concord,California,West,Chairs,YES
457,39,Consumer,Decatur,Illinois,Central,Chairs,YES
458,39,Consumer,Decatur,Illinois,Central,Envelopes,YES
459,51,Consumer,Seattle,Washington,West,Appliances,NO
460,51,Consumer,Seattle,Washington,West,Accessories,NO
461,51,Consumer,Seattle,Washington,West,Binders,YES
462,16,Home Office,Phoenix,Arizona,West,Furnishings,YES
463,16,Home Office,Phoenix,Arizona,West,Tables,YES
465,16,Home Office,Phoenix,Arizona,West,Supplies,YES
466,16,Home Office,Phoenix,Arizona,West,Appliances,YES
468,13,Corporate,Amarillo,Texas,Central,Bookcases,YES
470,51,Corporate,Lindenhurst,New York,East,Paper,NO
471,45,Consumer,San Francisco,California,West,Storage,NO
472,45,Consumer,San Francisco,California,West,Bookcases,YES
473,45,Consumer,San Francisco,California,West,Phones,YES
474,45,Consumer,San Francisco,California,West,Storage,NO
475,45,Consumer,San Francisco,California,West,Paper,NO
476,45,Consumer,San Francisco,California,West,Paper,NO
477,28,Corporate,Los Angeles,California,West,Phones,YES
478,43,Consumer,Troy,New York,East,Furnishings,NO
479,25,Corporate,New York City,New York,East,Art,NO
480,25,Corporate,New York City,New York,East,Storage,NO
481,41,Consumer,San Diego,California,West,Accessories,NO
482,30,Consumer,New York City,New York,East,Art,NO
483,30,Consumer,New York City,New York,East,Accessories,NO
484,23,Home Office,Los Angeles,California,West,Labels,NO
485,23,Home Office,Los Angeles,California,West,Bookcases,YES
486,23,Home Office,Los Angeles,California,West,Phones,YES
487,44,Consumer,Chicago,Illinois,Central,Phones,YES
488,24,Home Office,Huntsville,Texas,Central,Phones,YES
489,24,Home Office,Huntsville,Texas,Central,Accessories,YES
490,24,Home Office,Huntsville,Texas,Central,Art,YES
491,37,Consumer,Rochester,New York,East,Storage,NO
492,37,Consumer,Rochester,New York,East,Envelopes,NO
493,19,Consumer,Seattle,Washington,West,Accessories,NO
494,11,Consumer,Memphis,Tennessee,South,Tables,YES
495,52,Consumer,Fayetteville,Arkansas,South,Envelopes,NO
496,30,Consumer,Costa Mesa,California,West,Binders,YES
497,30,Consumer,Costa Mesa,California,West,Furnishings,NO
498,30,Consumer,Costa Mesa,California,West,Chairs,YES
499,30,Consumer,Costa Mesa,California,West,Furnishings,NO
502,22,Corporate,Parker,Colorado,West,Chairs,YES
504,22,Corporate,Parker,Colorado,West,Paper,YES
505,45,Corporate,New York City,New York,East,Binders,YES
506,12,Consumer,Atlanta,Georgia,South,Art,NO
507,12,Consumer,Atlanta,Georgia,South,Art,NO
508,12,Consumer,Atlanta,Georgia,South,Storage,NO
509,12,Consumer,Atlanta,Georgia,South,Binders,NO
510,47,Consumer,Gladstone,Missouri,Central,Furnishings,NO
511,47,Consumer,Gladstone,Missouri,Central,Accessories,NO
512,42,Consumer,Newark,Ohio,East,Art,YES
513,51,Consumer,Los Angeles,California,West,Art,NO
514,51,Consumer,Los Angeles,California,West,Art,NO
515,3,Home Office,Great Falls,Montana,West,Copiers,NO
516,3,Home Office,Great Falls,Montana,West,Storage,NO
517,3,Home Office,Great Falls,Montana,West,Paper,NO
518,3,Home Office,Great Falls,Montana,West,Storage,NO
519,12,Consumer,Houston,Texas,Central,Accessories,YES
520,12,Consumer,Houston,Texas,Central,Storage,YES
522,4,Corporate,Detroit,Michigan,Central,Tables,NO
523,20,Consumer,Los Angeles,California,West,Phones,YES
524,20,Consumer,Los Angeles,California,West,Accessories,NO
525,52,Consumer,Lawrence,Massachusetts,East,Fasteners,NO
526,42,Home Office,Lakeland,Florida,South,Chairs,YES
527,42,Home Office,Lakeland,Florida,South,Furnishings,YES
528,36,Consumer,Philadelphia,Pennsylvania,East,Storage,YES
529,36,Consumer,Philadelphia,Pennsylvania,East,Supplies,YES
530,36,Consumer,Philadelphia,Pennsylvania,East,Envelopes,YES
531,45,Corporate,Los Angeles,California,West,Chairs,YES
532,36,Consumer,Los Angeles,California,West,Furnishings,NO
533,21,Consumer,Montgomery,Alabama,South,Phones,NO
534,21,Consumer,Montgomery,Alabama,South,Binders,NO
535,27,Consumer,Mesa,Arizona,West,Storage,YES
537,49,Home Office,New York City,New York,East,Binders,YES
538,50,Consumer,Henderson,Kentucky,South,Appliances,NO
539,50,Consumer,Henderson,Kentucky,South,Chairs,NO
540,5,Consumer,Green Bay,Wisconsin,Central,Accessories,NO
541,28,Corporate,Tucson,Arizona,West,Phones,YES
542,51,Consumer,Springfield,Ohio,East,Storage,YES
543,19,Consumer,Fort Worth,Texas,Central,Accessories,YES
544,19,Consumer,Fort Worth,Texas,Central,Phones,YES
546,46,Home Office,New York City,New York,East,Binders,YES
547,46,Home Office,New York City,New York,East,Paper,NO
548,46,Corporate,Chicago,Illinois,Central,Storage,YES
550,46,Corporate,Chicago,Illinois,Central,Supplies,YES
551,15,Consumer,San Francisco,California,West,Chairs,YES
552,37,Consumer,Jacksonville,Florida,South,Furnishings,YES
